accessories,Competition,Global Monthly Searches,Local Monthly Searches (United States),0.1
chocolatiers,0.05,3350000,2740000,0.92
choirs,0.43,301000,165000,0.92
christmas markets,0.65,1830000,1220000,0.93
churches,0.04,5400,320,0.93
churros,0.1,1220000,1000000,0.93
cinema,0.75,201000,90500,0.93
circus schools,0.14,165000,33100,0.93
climbing,0.06,720,46,0.93
clothing for children,0.5,1220000,550000,0.93
clothing for men,0.52,450000,201000,0.94
clothing for women,0.22,1830000,1000000,0.94
clowns,0.19,550000,368000,0.94
cocktail bars,0.22,450000,246000,0.94
coffee and tea,0.48,7480000,1830000,0.94
coffeeshops,0.52,18100,14800,0.95
college counseling,0.17,135000,90500,0.95
colleges and universities,1,12100,8100,0.95
colombian restaurant,0.09,368000,301000,0.95
comedy clubs,0.45,5000000,3350000,0.95
comfort food,0.43,5000000,2740000,0.95
comic books,0.34,201000,165000,0.96
commercial real estate,0.41,1500000,1500000,0.96
community centers,0.66,368000,201000,0.96
community service,0.55,24900000,11100000,0.96
computer repair,0.42,550000,368000,0.97
computers,0.55,1830000,823000,0.97
concept shops,0.68,49500,27100,0.97
contractors,0.13,823000,550000,0.97
convenience stores,0.12,673000,450000,0.97
cooking schools,0.31,1830000,368000,0.98
corsican restaurant,0.47,450000,165000,0.98
cosmetic dentists,0.43,74000,33100,0.98
cosmetic surgeons,0.48,2240000,1500000,0.98
cosmetics and beauty supply,1,550000,201000,0.99
cosmetology schools,0.7,301000,201000,0.99
costumes,0.94,90500,74000,0.99
counseling,0.13,6120000,2240000,0.99
country dance halls,0.15,110000,49500,0.99
couriers,0.32,20400000,6120000,1
courthouses,0.1,60500,60500,1
cpr classes,0.21,7480000,3350000,1
creperies,0.46,1830000,823000,1
criminal defense law,0.33,165000,110000,1
crochet,0.27,301000,165000,1
csa,0.23,1830000,1500000,1
cuban restaurant,0.32,16600000,7480000,1.01
cucina campana,0.58,368000,135000,1.01
cultural center,0.5,201000,110000,1.01
curry sausage,0.43,450000,246000,1.01
cypriot restaurant,0.1,301000,201000,1.01
czech/slovakian,0.77,90500,33100,1.01
dance clubs,0.34,2240000,823000,1.01
dance restaurants,0.6,60500,33100,1.01
dance schools,0.58,1220000,550000,1.01
dance studios,0.22,1500000,823000,1.01
danish restaurant,0.14,40500,18100,1.01
data recovery,0.17,550000,246000,1.02
day care,0.68,1500000,1000000,1.02
day spas,0.22,368000,49500,1.02
delicatessen,0.67,33100,18100,1.02
delis,0.04,320,170,1.02
delivery services,0.68,1000000,673000,1.02
dental hygienists,0.14,27100,14800,1.02
dentists,0.65,110000,60500,1.03
department stores,0.48,6120000,2740000,1.03
departments of motor vehicles,0.24,823000,550000,1.03
dermatologists,0.09,1830000,1500000,1.03
desserts,0.09,49500,22200,1.04
diagnostic imaging,0.85,40500,27100,1.04
diagnostic services,0.18,16600000,6120000,1.04
dim sum,0.06,246000,135000,1.04
diners,0.75,18100,9900,1.04
disc golf,1,4090000,2740000,1.04
discount store,0.92,165000,165000,1.04
dive bars,0.25,60500,18100,1.04
diving,0.44,9900,8100,1.05
divorce and family law,0.12,1500000,301000,1.05
djs,0.06,3350000,1000000,1.05
do-it-yourself food,0.05,1900,590,1.05
doctors,0.9,165000,33100,1.05
dog parks,0.25,22200,18100,1.05
dog walkers,0.37,135000,74000,1.05
dolmus station,0.2,7480000,2240000,1.05
dominican restaurant,0.82,9900,4400,1.05
donairs,0.38,2740000,1830000,1.05
donuts,0.31,5000000,2240000,1.06
driving schools,0.26,20400000,7480000,1.06
drugstores,0.64,550000,368000,1.06
dry cleaning and laundry,0.89,9140000,4090000,1.06
dui law,0.12,49500,33100,1.06
dvds,0.32,16600000,7480000,1.07
ear nose and throat doctor,0.08,5400,590,1.07
eastern european restaurant,0.18,673000,550000,1.07
eastern german,0.31,30400000,7480000,1.08
editorial services,0.46,201000,135000,1.08
education,0.68,5400,4400,1.08
educational services,0.66,165000,74000,1.09
egyptian restaurant,0.25,18100,9900,1.09
electricians,0.05,450000,90500,1.09
electronics,0.48,1600,720,1.1
electronics repair,0.76,1500000,246000,1.1
elementary schools,0.25,1220000,550000,1.1
embassy,0.35,24900000,7480000,1.11
embroidery,0.22,550000,368000,1.11
emilian,0.71,673000,368000,1.11
employment agencies,0.05,33100,4400,1.11
employment law,0.22,165000,90500,1.12
endodontists,0.49,1220000,450000,1.12
estate planning law,0.07,368000,90500,1.12
ethiopian restaurant,0.12,45500000,16600000,1.12
ethnic food,0.5,4090000,2240000,1.13
ethnic grocery,0.51,1220000,368000,1.13
event photography,0.19,60500,9900,1.14
event planning and services,0.14,550000,550000,1.14
experiences,0.46,2240000,1000000,1.14
eyelash service,0.96,1000000,301000,1.14
eyewear and opticians,0.63,1600,260,1.14
fabric stores,0.33,110,46,1.15
family practice,0.48,2900,2400,1.15
farmers market,0.79,185000000,37200000,1.15
fashion,0.14,6120000,2240000,1.15
fasil music,0.12,18100,1900,1.16
fast food,0.15,18100,6600,1.16
ferries,0.52,90500,49500,1.17
