accessories,Competition,Global Monthly Searches,Local Monthly Searches (United States),0.1
romanian restaurant,0.16,1500000,368000,2.9
roofing,0.1,5000000,3350000,2.92
rotisserie chicken,0.11,49500,14800,2.93
rumanian restaurant,0.58,74000,33100,2.93
russian restaurant,0.93,246000,110000,2.94
rv dealers,0.03,246000,110000,2.98
rv parks,0.08,12100,5400,2.99
rv rental,0.15,1500000,673000,2.99
sailing,0.64,246000,201000,3
salad,0.09,165000,110000,3.01
salvadoran restaurant,0.23,9140000,3350000,3.03
sandwiches,0.13,90500,27100,3.04
sardinian restaurant,0.06,110000,33100,3.05
saunas,0.13,74000,14800,3.09
scandinavian design,0.12,9900,4400,3.1
scandinavian restaurant,0.19,7480000,4090000,3.12
scottish restaurant,0.3,73,36,3.14
screen printing,0.06,8100,2900,3.15
scuba diving,0.12,246000,165000,3.16
seafood,0.84,2240000,1220000,3.16
seafood markets,0.34,16600000,7480000,3.17
security services,0.51,368000,201000,3.18
security systems,0.19,4400,2900,3.19
self storage,0.18,13600000,3350000,3.21
senegalese restaurant,0.06,49500,40500,3.22
serbo croatian,0.26,55600000,13600000,3.25
session photography,0.48,201000,90500,3.25
sewing and alterations,0.42,2740000,550000,3.27
shades and blinds,0.13,45500000,11100000,3.31
shanghainese restaurant,0.06,151000000,37200000,3.32
shared office spaces,0.12,1600,880,3.32
shaved ice,0.12,74000,40500,3.35
shipping centers,0.56,74000,60500,3.4
shoe repair,0.15,40500,27100,3.4
shoe stores,0.13,24900000,2740000,3.41
shopping,0.23,49500,12100,3.43
shopping centers,0.12,110000,90500,3.45
sicilian restaurant,0.58,1000000,550000,3.46
signature cuisine,0.22,301000,201000,3.48
singaporean restaurant,0.49,2740000,1220000,3.48
skate parks,0.26,301000,165000,3.51
skating rinks,1,550000,368000,3.55
ski resorts,0.35,11100000,5000000,3.56
skiing,0.05,16600000,7480000,3.57
skin care,0.25,8100,5400,3.64
skydiving,0.15,8100,3600,3.65
sleepwear,0.12,110000,60500,3.66
smog check stations,0.06,673000,90500,3.7
smoothies,0.09,110000,74000,3.71
snow removal,0.13,60500,33100,3.71
soccer,0.08,301000,246000,3.72
social clubs,0.38,74000,9900,3.74
solar installation,0.06,3350000,1500000,3.74
soul food,0.23,9140000,4090000,3.76
soup,0.32,368000,246000,3.78
south african restaurant,0.37,1830000,301000,3.79
southern restaurant,0.42,165000,74000,3.79
souvenir shops,0.62,9140000,1830000,3.8
spanish restaurant,0.08,550000,450000,3.8
special bikes,0.94,673000,368000,3.83
special education,0.16,450000,246000,3.85
specialty food,0.14,1220000,201000,3.86
specialty schools,0.11,7480000,1830000,3.91
speech therapists,0.32,1220000,673000,3.97
spin classes,0.27,5000000,1830000,4.02
spiritual shop,0.3,1500000,673000,4.03
sport equipment hire,0.03,33100,2900,4.03
sporting goods,0.18,12100,4400,4.14
sports bars,0.1,11100000,3350000,4.16
sports clubs,0.43,1830000,823000,4.2
sports medicine,0.2,450000,301000,4.23
sports wear,0.06,7480000,3350000,4.25
squash,0.42,9140000,1500000,4.25
stadiums and arenas,0.22,2740000,1220000,4.32
steakhouses,0.3,450000,74000,4.41
street art,0.26,9900,480,4.43
street vendors,0.26,1300,1300,4.45
summer camps,0.26,5000000,1500000,4.47
surf shop,0.05,1830000,550000,4.5
surfing,0.15,13600000,6120000,4.55
surgeons,0.49,1500000,673000,4.67
sushi bars,0.18,11100000,2740000,4.7
swabian restaurant,0.07,12100,4400,4.72
swedish restaurant,0.34,368000,201000,4.75
swimming lessons,0.06,12100,4400,4.76
swimming pools,0.04,27100,6600,4.78
swimming schools,0.6,12100,2900,4.8
swimwear,0.11,1830000,823000,4.81
swiss food restaurant,0.06,2240000,550000,4.83
synagogues,0.12,8100,2900,4.84
szechuan,0.65,20400000,6120000,4.86
t-shirt printing,0.14,6120000,1830000,4.91
tabernas,0.22,5400,1600,4.91
tablao flamenco,0.02,165000,49500,5
tableware,0.15,450000,165000,5.01
tai chi,0.15,90500,60500,5.02
taiwanese restaurant,0.25,49500,9900,5.11
talent agencies,0.18,40500,22200,5.19
tanning,0.11,2740000,246000,5.2
tapas bars,0.09,823000,550000,5.22
tapas/small plates,0.19,673000,450000,5.32
tattoo,0.29,18100,4400,5.32
tattoo removal,0.17,11100000,5000000,5.32
tax office,0.58,5000000,2740000,5.34
tax services,0.43,673000,301000,5.34
taxidermy,0.1,673000,550000,5.41
taxis,0.53,20400000,7480000,5.46
tea rooms,0.43,301000,135000,5.47
teachers,0.27,83100000,30400000,5.5
technical school,0.19,12100,8100,5.52
television service providers,0.16,1000,480,5.53
television stations,0.24,368000,90500,5.54
tennis,0.22,368000,246000,5.6
teochew restaurant,0.18,450000,165000,5.67
teppanyaki restaurant,0.09,18100,5400,5.71
test preparation,0.08,6120000,3350000,5.73
tex-mex restaurant,0.24,1000000,673000,5.78
thai restaurant,0.19,1600,1300,5.84
thrift stores,0.09,480,22,5.97
ticket sales,0.1,1500000,823000,5.97
tickets,0.13,1830000,1500000,6.02
tires,0.13,12100,5400,6.08
tobacco shops,0.14,16600000,7480000,6.12
tours,0.5,30400000,9140000,6.13
towing,0.33,6120000,2740000,6.15
toy stores,0.06,450000,135000,6.16
trade fairs,0.13,3350000,2240000,6.24
traditional chinese medicine,0.25,1500000,246000,6.29
traditional norwegian,0.08,8100,3600,6.3
traditional swedish,0.72,18100,8100,6.36
train stations,0.45,40500,12100,6.46
trainers,0.22,16600000,1830000,6.58
trampoline parks,0.14,12100,9900,6.61
translation services,0.24,3350000,301000,6.62
transportation,0.14,135000,60500,6.73
travel,0.1,450000,74000,6.93
travel services,0.06,9900,8100,7.05
tree services,0.48,301000,135000,7.07
trinidadian restaurant,0.4,673000,368000,7.08
trophy shops,0.18,7480000,4090000,7.16
truck rental,0.12,823000,450000,7.22
tubing,0.22,2740000,1220000,7.46
turkish ravioli,0.12,7480000,2240000,7.59
turkish restaurant,0.12,60500,40500,7.71
tuscan restaurant,0.14,4090000,2740000,7.91
tutoring centers,0.24,3350000,1500000,8.19
ukrainian restaurant,0.06,7480000,1830000,8.29
uniforms,0.22,368000,110000,8.43
university housing,0.58,450000,246000,8.44
urgent care,0.38,673000,368000,8.72
urologists,0.08,4090000,1830000,8.79
used bookstore,0.08,12100,5400,9.05
used vintage and consignment,0.36,301000,165000,9.07
utilities,0.56,3350000,673000,9.24
vacation rental agents,0.18,3600,590,9.69
vacation rentals,0.34,5000000,1220000,9.74
vegan restaurant,0.36,135000,33100,10.11
vegetarian restaurant,0.11,5400,1600,10.19
venetian restaurant,0.08,14800,6600,10.21
venezuelan restaurant,0.03,135000,110000,10.23
venison restaurant,0.21,18100,14800,10.38
venues and event spaces,0.71,3350000,2240000,10.93
veterinarians,0.2,11100000,5000000,11.12
video,0.61,24900000,11100000,11.7
video game rental,0.12,55600000,20400000,12.35
video production,0.36,9140000,2240000,12.46
video rental,0.19,673000,550000,12.72
videographers,0.13,12100,5400,12.72
vietnamese restaurant,0.1,27100,18100,13.19
vinyl records,0.22,320,170,13.2
vocational school,0.08,90500,49500,13.29
walk-in clinics,0.05,368000,246000,13.34
watch repair,0.12,1830000,1000000,13.92
watches,0.05,49500,33100,13.94
water taxis,0.14,3350000,3350000,14.04
web design,0.05,390,91,14.22
wedding planning,0,60500,170,14.41
weight loss centers,0,368000,2400,14.81
wholesale stores,0,320,46,14.94
wigs,0.02,720,16,15.32
window washing,0.01,5400,140,15.33
windows installation,0.04,480,28,16.39
windshield installation,0,2900,0,17.19
windshield repair,0.02,880,0,18.38
wine bars,0.01,590,46,27.79
wineries,0.03,5400,110,29.67
wok restaurant,0.02,480,0,66.89
wraps,0,9900,590,-
yoga,0.02,1300,320,-
youth club,0.02,22200,170,-
yugoslav,0.01,22,0,-
zapiekanka,0.02,73,36,-
zoos,0,49500,1000,-
zorbing,0.03,210,46,Approximate CPC (Search) - $
